amenity,amen_count
amen_Wifi,11095
amen_Heating,10943
amen_Essentials,10718
amen_Smoke_alarm,10440
amen_Long_term_stays_allowed,10318
amen_Air_conditioning,10167
amen_Kitchen,10111
amen_Hangers,9865
amen_Hot_water,9535
amen_Carbon_monoxide_alarm,9425
amen_Hair_dryer,8910
amen_Iron,8825
amen_Dedicated_workspace,8532
amen_TV,8437
amen_Shampoo,8241
amen_Dishes_and_silverware,8012
amen_Refrigerator,7996
amen_Cooking_basics,7229
amen_Microwave,7095
amen_Free_street_parking,6793
amen_Stove,6750
amen_Coffee_maker,6508
amen_Oven,6507
amen_Bed_linens,5955
amen_Fire_extinguisher,5817
amen_First_aid_kit,4773
amen_Washer,4555
amen_Dryer,4512
amen_Extra_pillows_and_blankets,4272
amen_Private_entrance,3728
amen_Luggage_dropoff_allowed,3336
amen_Cable_TV,3280
amen_Dishwasher,2861
amen_Lock_on_bedroom_door,2788
amen_Lockbox,2456
amen_Elevator,2165
amen_Host_greets_you,1909
amen_Garden_or_backyard,1860
amen_Patio_or_balcony,1765
amen_Shower_gel,1726
amen_Bathtub,1723
amen_Paid_parking_off_premises,1667
amen_Keypad,1114
amen_Free_parking_on_premises,1090
amen_Room-darkening_shades,947
amen_Gym,927
amen_Laundromat_nearby,873
amen_Ethernet_connection,837
amen_Pack_n_Play/travel_crib,823
amen_Baking_sheet,815
amen_Freezer,814
amen_Breakfast,786
amen_Single_level_home,774
amen_Body_soap,757
amen_Conditioner,724
amen_Cleaning_before_checkout,692
amen_BBQ_grill,687
amen_Building_staff,676
amen_Window_guards,610
amen_Childrens_books_and_toys,607
amen_Indoor_fireplace,592
amen_Smart_lock,470
amen_Paid_parking_on_premises,462
amen_High_chair,458
amen_Portable_fans,434
amen_Crib,430
amen_Babysitter_recommendations,371
amen_Hot_tub,316
amen_Childrens_dinnerware,272
amen_Pocket_wifi,257
amen_Cleaning_products,239
amen_Ceiling_fan,238
amen_Barbecue_utensils,235
amen_Outlet_covers,217
amen_Hot_water_kettle,201
amen_Mini_fridge,185
amen_Keurig_coffee_machine,176
amen_Pool,165
amen_Dining_table,161
amen_Pour-over_coffee,161
amen_Wine_glasses,154
amen_Toaster,145
amen_Game_console,145
amen_Rice_maker,143
amen_Sound_system,141
amen_Baby_safety_gates,138
amen_Beach_essentials,136
amen_Waterfront,123
amen_Clothing_storage,116
amen_Baby_bath,113
amen_Nespresso_machine,92
amen_Fireplace_guards,90
amen_Bread_maker,85
amen_Changing_table,74
amen_Piano,71
amen_Window_AC_unit,68
amen_Outdoor_furniture,62
amen_Private_living_room,59
amen_Gas_stove,56
amen_EV_charger,56
amen_Table_corner_guards,56
amen_Central_heating,55
amen_Record_player,52
amen_Washer_In_building,47
amen_Safe,46
amen_Trash_compactor,43
amen_Dryer_In_building,43
amen_Outdoor_dining_area,43
amen_Stainless_steel_oven,42
amen_Amazon_Prime_Video,41
amen_Baby_monitor,40
amen_Beachfront,39
amen_Clothing_storage:_closet,39
amen_Paid_parking_garage_off_premises,36
amen_Board_games,35
amen_Drying_rack_for_clothing,35
amen_Stainless_steel_gas_stove,34
amen_Dryer_In_unit,32
amen_Washer_In_unit,32
amen_Lake_access,30
amen_Radiant_heating,29
amen_Netflix,28
amen_Central_air_conditioning,25
amen_Portable_heater,24
amen_HBO_Max,23
amen_HDTV_with_Netflix,22
amen_standard_cable,19
amen_Free_washer_In_unit,17
amen_HDTV,15
amen_premium_cable,15
amen_Clothing_storage:_dresser_and_closet,15
amen_Chromecast,14
amen_Mosquito_net,14
amen_TV_with_Netflix,13
amen_Portable_air_conditioning,12
amen_Paid_street_parking_off_premises,12
amen_Free_driveway_parking_on_premises,12
amen_Wifi_200_Mbps,11
amen_Electric_stove,11
amen_Clothing_storage:_closet_and_dresser,11
amen_Bluetooth_sound_system,10
amen_Bidet,9
amen_Free_dryer_In_unit,9
amen_Paid_washer_In_building,9
amen_Sound_system_with_Bluetooth_and_aux,9
amen_Apple_TV,8
amen_Fire_pit,8
amen_Ski-in/Ski-out,8
amen_Sonos_sound_system,8
amen_Dedicated_workspace:_desk,8
amen_Sonos_Bluetooth_sound_system,8
amen_Free_driveway_parking_on_premises_1_space,8
amen_Induction_stove,7
amen_50_HDTV_with_Netflix,7
amen_55_HDTV_with_Netflix,7
amen_Free_parking_garage_on_premises,7
amen_Private_fenced_garden_or_backyard,7
amen_Dove,6
amen_Roku,6
amen_Bikes,6
amen_32_HDTV,6
amen_Irish_Spring,6
amen_Outdoor_shower,6
amen_Paid_dryer_In_building,6
amen_HDTV_with_Amazon_Prime_Video,6
amen_TV_with_Roku,5
amen_Dove_body_soap,5
amen_Treseme_conditioner,5
amen_32_HDTV_with_Netflix,5
amen_Sound_system_with_aux,5
amen_Clothing_storage:_dresser,5
amen_Stainless_steel_electric_stove,5
amen_Wifi_100_Mbps,4
amen_HDTV_with_Roku,4
amen_Treseme_shampoo,4
amen_Stainless_steel_stove,4
amen_Dedicated_workspace:_table,4
amen_Samsung_stainless_steel_oven,4
amen_50_HDTV_with_Amazon_Prime_Video,4
amen_Paid_parking_lot_on_premises_1_space,4
amen_Marshall_sound_system_with_Bluetooth_and_aux,4
amen_desk,3
amen_GE_refrigerator,3
amen_HDTV_with_Apple_TV,3
amen_40_HDTV_with_Netflix,3
amen_HDTV_with_Chromecast,3
amen_HDTV_with_premium_cable,3
amen_Clothing_storage:_wardrobe,3
amen_Paid_parking_lot_off_premises,3
amen_Frigidaire_stainless_steel_oven,3
amen_Clothing_storage:_walk-in_closet,3
amen_Samsung_stainless_steel_gas_stove,3
amen_Frigidaire_stainless_steel_gas_stove,3
amen_Dedicated_workspace:_office_chair_and_desk,3
amen_Clothing_storage:_walk-in_closet_and_closet,3
amen_Paid_parking_garage_off_premises_$30_per_day,3
amen_closet,2
