antecedent,consequent,support,confidence,coverage,lift,count
round_review_score_100,amen_Carbon_monoxide_alarm,0.212134672,0.818368746,0.259216488,0.977440527,2388
round_review_score_100,amen_Kitchen,0.23887359,0.92152159,0.259216488,1.025968603,2689
round_review_score_100,amen_Hangers,0.225193213,0.868745716,0.259216488,0.991330008,2535
round_review_score_100,amen_Long_term_stays_allowed,0.238962423,0.921864291,0.259216488,1.00575948,2690
round_review_score_100,amen_Air_conditioning,0.231944568,0.894790953,0.259216488,0.990721133,2611
round_review_score_100,amen_Smoke_alarm,0.237363418,0.915695682,0.259216488,0.987355009,2672
round_review_score_100,amen_Essentials,0.242338101,0.934886909,0.259216488,0.981901654,2728
round_review_score_100,amen_Heating,0.251843298,0.97155586,0.259216488,0.999433822,2835
round_review_score_100,amen_Wifi,0.254774807,0.982864976,0.259216488,0.997215956,2868
round_review_score_90,amen_Dishes_and_silverware,0.468330816,0.801703163,0.58416985,1.126406953,5272
round_review_score_90,amen_Refrigerator,0.467797815,0.800790754,0.58416985,1.127376378,5266
round_review_score_90,amen_Iron,0.477480679,0.81736618,0.58416985,1.042616554,5375
round_review_score_90,amen_Hair_dryer,0.490095052,0.838959854,0.58416985,1.05995186,5517
round_review_score_90,amen_Carbon_monoxide_alarm,0.505019099,0.864507299,0.58416985,1.032547339,5685
round_review_score_90,amen_Hot_water,0.523674158,0.896441606,0.58416985,1.058336986,5895
round_review_score_90,amen_Kitchen,0.523318824,0.895833333,0.58416985,0.99736879,5891
round_review_score_90,amen_Hangers,0.522874656,0.895072993,0.58416985,1.021372192,5886
round_review_score_90,amen_Long_term_stays_allowed,0.529981345,0.907238443,0.58416985,0.989802593,5966
round_review_score_90,amen_Air_conditioning,0.538331705,0.921532847,0.58416985,1.020330014,6060
round_review_score_90,amen_Smoke_alarm,0.551212579,0.943582725,0.58416985,1.0174244,6205
round_review_score_90,amen_Essentials,0.565781292,0.968521898,0.58416985,1.017228121,6369
round_review_score_90,amen_Heating,0.572088478,0.979318735,0.58416985,1.007419446,6440
round_review_score_90,amen_Wifi,0.579372835,0.991788321,0.58416985,1.006269593,6522
round_review_score_80,amen_Kitchen,0.10500133,0.87490748,0.12001421,0.97407116,1182
round_review_score_80,amen_Hangers,0.09780581,0.81495189,0.12001421,0.92994561,1101
round_review_score_80,amen_Long_term_stays_allowed,0.11264102,0.93856403,0.12001421,1.02397899,1268
round_review_score_80,amen_Air_conditioning,0.10366883,0.86380459,0.12001421,0.95641273,1167
round_review_score_80,amen_Smoke_alarm,0.10633384,0.88601036,0.12001421,0.95534661,1197
round_review_score_80,amen_Essentials,0.11139735,0.92820133,0.12001421,0.97487987,1254
round_review_score_80,amen_Heating,0.11406236,0.95040711,0.12001421,0.97767822,1284
round_review_score_80,amen_Wifi,0.1173492,0.97779423,0.12001421,0.99207117,1321
round_review_score_70,amen_Kitchen,0.0119037,0.8375,0.01421338,0.93242385,134
round_review_score_70,amen_Long_term_stays_allowed,0.01350271,0.95,0.01421338,1.03645571,152
round_review_score_70,amen_Air_conditioning,0.01154837,0.8125,0.01421338,0.8996078,130
round_review_score_70,amen_Smoke_alarm,0.01296971,0.9125,0.01421338,0.98390924,146
round_review_score_70,amen_Essentials,0.01305854,0.91875,0.01421338,0.96495323,147
round_review_score_70,amen_Heating,0.01332504,0.9375,0.01421338,0.96440076,150
