antecedent,consequent,support,confidence,coverage,lift,count
round_review_score_100,price_range100,0.054277339,0.209389993,0.259216488,1.005161259,611
round_review_score_100,property_type_Private_room_in_apartment,0.055521009,0.2141878,0.259216488,0.94850986,625
round_review_score_100,price_range50,0.086523941,0.333790267,0.259216488,0.889133232,974
round_review_score_100,minimum_nights_30,0.11477303,0.44276902,0.259216488,1.151363099,1292
round_review_score_100,accommodates_2,0.113174025,0.436600411,0.259216488,1.026270793,1274
round_review_score_100,property_type_Entire_apartment,0.117260371,0.452364633,0.259216488,1.030197993,1320
round_review_score_100,maximum_nights_1125,0.125433064,0.483893077,0.259216488,1.066193849,1412
round_review_score_100,bedrooms_1,0.171093542,0.660041124,0.259216488,0.996256762,1926
round_review_score_90,price_range100,0.127476237,0.218217762,0.58416985,1.047538312,1435
round_review_score_90,property_type_Private_room_in_apartment,0.129963578,0.222475669,0.58416985,0.985211883,1463
round_review_score_90,price_range50,0.222705872,0.381234793,0.58416985,1.015513504,2507
round_review_score_90,minimum_nights_30,0.195700453,0.335006083,0.58416985,0.871139633,2203
round_review_score_90,accommodates_2,0.249178289,0.426551095,0.58416985,1.002648919,2805
round_review_score_90,property_type_Entire_apartment,0.257883983,0.441453771,0.58416985,1.005350011,2903
round_review_score_90,maximum_nights_1125,0.248911788,0.426094891,0.58416985,0.938843254,2802
round_review_score_90,bedrooms_1,0.387225726,0.662864964,0.58416985,1.000519026,4359
round_review_score_80,price_range0,0.025672915,0.213915618,0.120014213,1.263404046,289
round_review_score_80,minimum_nights_1,0.025584081,0.213175426,0.120014213,1.21197766,288
round_review_score_80,property_type_Private_room_in_apartment,0.029936928,0.249444856,0.120014213,1.104642305,337
round_review_score_80,price_range50,0.052411833,0.436713546,0.120014213,1.163294932,590
round_review_score_80,minimum_nights_30,0.055076841,0.458919319,0.120014213,1.193359846,620
round_review_score_80,accommodates_2,0.048147819,0.401184308,0.120014213,0.943021874,542
round_review_score_80,property_type_Entire_apartment,0.051079328,0.425610659,0.120014213,0.96926951,575
round_review_score_80,maximum_nights_1125,0.059696189,0.497409326,0.120014213,1.0959751,672
round_review_score_80,bedrooms_1,0.07888425,0.657290896,0.120014213,0.992105606,888
round_review_score_70,minimum_nights_1,0.004264014,0.3,0.014213378,1.705606061,48
round_review_score_70,property_type_Private_room_in_apartment,0.004086346,0.2875,0.014213378,1.273165814,46
round_review_score_70,price_range50,0.006484854,0.45625,0.014213378,1.215335128,73
round_review_score_70,minimum_nights_30,0.006929022,0.4875,0.014213378,1.26768018,78
round_review_score_70,accommodates_2,0.005330017,0.375,0.014213378,0.881473168,60
round_review_score_70,property_type_Entire_apartment,0.005330017,0.375,0.014213378,0.854010722,60
round_review_score_70,maximum_nights_1125,0.007017856,0.49375,0.014213378,1.087912263,79
round_review_score_70,bedrooms_1,0.009771698,0.6875,0.014213378,1.037702802,110
round_review_score_60,price_range0,0.004619348,0.322981366,0.014302212,1.907555741,52
round_review_score_60,minimum_nights_1,0.00417518,0.291925466,0.014302212,1.659699479,47
round_review_score_60,property_type_Private_room_in_apartment,0.004352847,0.304347826,0.014302212,1.347774775,49
round_review_score_60,price_range50,0.004885849,0.341614907,0.014302212,0.909976102,55
round_review_score_60,minimum_nights_30,0.007728524,0.540372671,0.014302212,1.405168666,87
round_review_score_60,accommodates_2,0.006040686,0.422360248,0.014302212,0.992797936,68
round_review_score_60,property_type_Entire_apartment,0.004352847,0.304347826,0.014302212,0.693110151,49
round_review_score_60,maximum_nights_1125,0.008172693,0.571428571,0.014302212,1.259066633,92
round_review_score_60,bedrooms_1,0.010127032,0.708074534,0.014302212,1.068757714,114
round_review_score_40,minimum_nights_30,0.00195434,0.666666667,0.002931509,1.733579734,22
round_review_score_40,accommodates_2,0.001243671,0.424242424,0.002931509,0.997222169,14
round_review_score_40,property_type_Entire_apartment,0.001066003,0.363636364,0.002931509,0.828131609,12
round_review_score_40,maximum_nights_1125,0.001776672,0.606060606,0.002931509,1.335373702,20
round_review_score_40,bedrooms_1,0.001776672,0.606060606,0.002931509,0.91477933,20
round_review_score_20,property_type_Private_room_in_apartment,0.001066,0.27906977,0.00381985,1.23583335,12
round_review_score_20,price_range50,0.00115484,0.30232558,0.00381985,0.80531923,13
round_review_score_20,minimum_nights_30,0.00195434,0.51162791,0.00381985,1.33042166,22
round_review_score_20,accommodates_2,0.00195434,0.51162791,0.00381985,1.20263006,22
round_review_score_20,property_type_Entire_apartment,0.00151017,0.39534884,0.00381985,0.90035239,17
round_review_score_20,maximum_nights_1125,0.00195434,0.51162791,0.00381985,1.12730385,22
round_review_score_20,bedrooms_1,0.00302034,0.79069767,0.00381985,1.19346792,34
