property_item,property_count
bedrooms_1,7458
maximum_nights_1125,5109
property_type_Entire_apartment,4943
accommodates_2,4789
minimum_nights_30,4329
price_range50,4226
property_type_Private_room_in_apartment,2542
price_range100,2345
minimum_nights_1,1980
accommodates_4,1916
price_range0,1906
bedrooms_2,1839
minimum_nights_2,1666
accommodates_1,1402
price_range150,1285
accommodates_3,1284
minimum_nights_3,1281
bedrooms_0,1136
maximum_nights_365,1070
neighborhood_Bedford-Stuyvesant,855
property_type_Private_room_in_house,791
accommodates_6,702
maximum_nights_30,684
neighborhood_Williamsburg,678
bedrooms_3,591
accommodates_5,584
neighborhood_Harlem,579
maximum_nights_90,572
price_range200,500
minimum_nights_5,457
property_type_Entire_house,451
maximum_nights_28,448
property_type_Private_room_in_townhouse,440
neighborhood_Hells_Kitchen,439
minimum_nights_4,430
maximum_nights_60,430
neighborhood_Bushwick,418
neighborhood_Midtown,404
neighborhood_Upper_West_Side,378
neighborhood_Upper_East_Side,372
maximum_nights_180,368
price_range250,354
neighborhood_Crown_Heights,345
property_type_Entire_condominium,343
minimum_nights_7,331
neighborhood_East_Village,285
property_type_Entire_townhouse,284
property_type_Entire_loft,263
neighborhood_Chelsea,239
neighborhood_Greenpoint,236
neighborhood_East_Harlem,217
accommodates_8,202
maximum_nights_29,192
maximum_nights_120,192
maximum_nights_14,191
neighborhood_Lower_East_Side,189
neighborhood_Financial_District,189
neighborhood_Astoria,185
neighborhood_East_Flatbush,175
neighborhood_Flushing,174
maximum_nights_31,167
neighborhood_West_Village,166
bedrooms_4,165
price_range300,163
neighborhood_Washington_Heights,157
property_type_Shared_room_in_apartment,154
accommodates_7,145
property_type_Entire_guest_suite,139
property_type_Room_in_hotel,138
minimum_nights_14,131
neighborhood_Clinton_Hill,129
maximum_nights_7,124
neighborhood_Park_Slope,123
property_type_Private_room_in_condominium,123
neighborhood_Flatbush,122
neighborhood_Woodside,122
neighborhood_Murray_Hill,122
minimum_nights_6,115
neighborhood_Kips_Bay,115
neighborhood_Prospect-Lefferts_Gardens,114
neighborhood_Long_Island_City,111
maximum_nights_21,110
price_range350,103
neighborhood_Sunset_Park,103
neighborhood_Fort_Greene,100
property_type_Private_room_in_loft,100
neighborhood_East_New_York,99
neighborhood_Jamaica,97
property_type_Room_in_boutique_hotel,97
property_type_Entire_serviced_apartment,93
maximum_nights_360,92
maximum_nights_45,91
minimum_nights_31,86
neighborhood_SoHo,86
neighborhood_Sunnyside,85
minimum_nights_10,84
maximum_nights_1124,83
neighborhood_Theater_District,81
neighborhood_Ridgewood,76
neighborhood_Jackson_Heights,75
neighborhood_Gramercy,73
accommodates_10,72
neighborhood_Chinatown,72
neighborhood_South_Slope,72
